,name,rating,review_count,genre,location,best_comment
385,Saudi Discovery,4.9,(15) , Travel agency,Riyadh Saudi Arabia,"""We visited several historical sites such as the Masmak Fortress and ..."""
386,sparkys,3.8,(646) , Amusement park,Riyadh Saudi Arabia · In Panorama Mall,"""All games working and having Operational technical stuff."""
387,Planet X,3.9,(109) , Amusement center,Riyadh Saudi Arabia · In The Zone,"""The place has a hydraulic driving rig with a bunch of games on it."""
388,Mazebox Escape Room,4.5,(1.2T) , Escape room center,Jeddah Saudi Arabia,"""It's a really nice place. We had fun good price."""
389,Family Park,4.1,(98) , Park,Riyadh Saudi Arabia,"""OMG i was walking around and I saw the skinny legend queen jiafei ..."""
390,Sky Zone,3.9,(1T) , Amusement center,Riyadh Saudi Arabia · In Almakan Mall,"""My favourite place .."""
391,Snowy Forest | سنوي فورست,2.8,(97) , Amusement center,Jeddah Saudi Arabia · In the Red Sea Mall,
392,Hello Park,4.6,(55) , Park,Riyadh Saudi Arabia · In Panorama Mall,
393,Modon Lake Park,4.3,(4.9T) , Tourist attraction,Dammam Saudi Arabia,"""Good place for entertainment"""
394,Lake park View point,4.5,(62) , Park,Riyadh Saudi Arabia,
395,Escape The Room - Riyadh,4.7,(2T) , Escape room center,Riyadh Saudi Arabia,"""Best entertainment Place for family’s and friends in Riyadh !!"""
396,DOOMIDOO,3.9,(573) , Children's amusement center,Riyadh Saudi Arabia,Closes soon ⋅ 9:30 pm
397,Riyadh Water Tower,4.3,(2.1T) , Tourist attraction,Riyadh Saudi Arabia,"""Nice Location for kids"""
398,Nofa Wildlife Park,4.2,(466) , Wildlife and safari park,الرياض Saudi Arabia,Closed ⋅ Opens 8 am Wed
399,Sulai,4.0,(1) , Garden,Riyadh Saudi Arabia,
400,TAKENDA,4.2,(37) , Amusement park,Riyadh Saudi Arabia · In Boulevard Riyadh City,"""Nice family entertainment places"""
401,RMROMA LAND,2.9,(21) , Theme park,Dammam Saudi Arabia · In Marina Mall,"""Entertainment for children🤩🤩 but dangerous for parents 🤣🤣🤑🤑.. Lovely place."""
402,Saudi Television Tower,4.4,(224) , Tourist attraction,Riyadh Saudi Arabia,"""nice place and nice people inside tv station."""
403,Ahaji Escape Rooms أحاجي,4.8,(4.9T) , Tourist attraction,Dammam Saudi Arabia,"""Good place for entertainment"""
404,Lake park View point,4.5,(62) , Park,Riyadh Saudi Arabia,
405,Escape The Room - Riyadh,4.7,(2T) , Escape room center,Riyadh Saudi Arabia,"""Best entertainment Place for family’s and friends in Riyadh !!"""
406,DOOMIDOO,3.9,(573) , Children's amusement center,Riyadh Saudi Arabia,Closes soon ⋅ 9:30 pm
407,Riyadh Water Tower,4.3,(2.1T) , Tourist attraction,Riyadh Saudi Arabia,"""Nice Location for kids"""
408,Nofa Wildlife Park,4.2,(466) , Wildlife and safari park,الرياض Saudi Arabia,Closed ⋅ Opens 8 am Wed
409,Sulai,4.0,(1) , Garden,Riyadh Saudi Arabia,
410,Chuck E. Cheese's,3.8,(3.1T) , ₹ ,Riyadh Saudi Arabia,"""Excellent kids and family entertainment place"""
411,Ammaria cleft,3.8,(33) , Tourist attraction,Saudi Arabia,"""Amazing location, worth a visit."""
412,King Khalid Grand Mosque,4.8,(10T) , Tourist attraction,Riyadh Saudi Arabia,Worship hall with stain-glass windows
413,Lake park Riyadh,4.4,(703) , Tourist attraction,Riyadh Saudi Arabia,"""A place away from the hustle and bustle of city."""
414,IS IT REAL?,4.7,(10) , Tourist attraction,Riyadh Saudi Arabia,
415,Chuck E Cheese's,4.1,(4.3T) , ₹₹ ,Riyadh Saudi Arabia,"""a place where kids can have fun and their parents too!"""
416,مركز كفّك للترفيه - هاي فايف Hi 5,4.3,(106) , Amusement center,Riyadh Saudi Arabia,"""Great place for kids for entertainment"""
417,مزرعة معيوف بن وصل بن مبرك الفقية,No reviews · Tourist attraction,القعور Saudi Arabia,,,
418,Woosh,4.2,(2.1T) , Recreation center,Riyadh Saudi Arabia,"""A nice place to spend some time with your kids."""
419,اسكيب مشن | Escape Mission,4.6,(436) , Escape room center,Riyadh Saudi Arabia,"""Fun place, intelligent games and reasonable price range for activities."""
420,Sky Zone,3.9,(1T) , Amusement center,Riyadh Saudi Arabia · In Almakan Mall,"""My favourite place .."""
421,Snowy Forest | سنوي فورست,2.8,(97) , Amusement center,Jeddah Saudi Arabia · In the Red Sea Mall,
422,Hello Park,4.6,(55) , Park,Riyadh Saudi Arabia · In Panorama Mall,
423,Modon Lake Park,4.3,(4.9T) , Tourist attraction,,"""A place away from the hustle and bustle of city."""
424,IS IT REAL?,4.7,(10) , Tourist attraction,Riyadh Saudi Arabia,
425,Chuck E Cheese's,4.1,(4.3T) , ₹₹ ,Riyadh Saudi Arabia,"""a place where kids can have fun and their parents too!"""
426,مركز كفّك للترفيه - هاي فايف Hi 5,4.3,(106) , Amusement center,Riyadh Saudi Arabia,"""Great place for kids for entertainment"""
427,مزرعة معيوف بن وصل بن مبرك الفقية,No reviews · Tourist attraction,القعور Saudi Arabia,,,
428,Woosh,4.2,(2.1T) , Recreation center,Riyadh Saudi Arabia,"""A nice place to spend some time with your kids."""
429,اسكيب مشن | Escape Mission,4.6,(436) , Escape room center,Riyadh Saudi Arabia,"""Fun place, intelligent games and reasonable price range for activities."""
430,shifa,4.4,(504) , Country park,Riyadh Saudi Arabia,"""A super relaxing place in riyadh"""
431,Umluj Beach,4.4,(1.2T) , State park,Umluj Saudi Arabia,Clear-water beach for diving & birding
432,Billy Beez City,3.5,(609) , Children's amusement center,Riyadh Saudi Arabia · In Al Nakheel Mall,"""Billy Beez City my favorite place...even me I enjoy and love this place..."""
433,جامع سليمان الراجحي,4.8,(27T) , Tourist attraction,Riyadh Saudi Arabia,Closed ⋅ Opens 4 am Wed
434,سفوري لاند | Safforiland,3.4,(59) , Amusement park,Buraydah Saudi Arabia · In Al Othaim Mall,
435,Al Douh Park,3.6,(4.7T) , Tourist attraction,Riyadh Saudi Arabia,"""Really good place to relax😀"""
436,Lake Park,4.5,(2.1T) , Tourist attraction,Al Mithnab Saudi Arabia,"""I am gonna tell my friends about the place"""
437,Nofa wild life park and safari,4.4,(199) , Wildlife and safari park,Khubayb Al Reem Saudi Arabia,
438,Lambee Tily,4.2,(1.2T) , Amusement center,Riyadh Saudi Arabia,"""NYC place... Kidz njying.... Tq waad for helping kidz..."""
439,Wadi Park,4.0,(2.4T) , Tourist attraction,Riyadh Saudi Arabia,Palm-shaded park for walks & kids’ games
440,Chuck E. Cheese's,3.8,(3.1T) , ₹ ,Riyadh Saudi Arabia,"""Excellent kids and family entertainment place"""
441,Ammaria cleft,3.8,(33) , Tourist attraction,Saudi Arabia,"""Amazing location, worth a visit."""
442,King Khalid Grand Mosque,4.8,(10T) , Tourist attraction,Riyadh Saudi Arabia,Worship hall with stain-glass windows
443,Lake park Riyadh,4.4,(703) , Tourist attraction,Riyadh Saudi Arabia,Closed ⋅ Opens 4 am Wed
444,سفوري لاند | Safforiland,3.4,(59) , Amusement park,Buraydah Saudi Arabia · In Al Othaim Mall,
445,Al Douh Park,3.6,(4.7T) , Tourist attraction,Riyadh Saudi Arabia,"""Really good place to relax😀"""
446,Lake Park,4.5,(2.1T) , Tourist attraction,Al Mithnab Saudi Arabia,"""I am gonna tell my friends about the place"""
447,Nofa wild life park and safari,4.4,(199) , Wildlife and safari park,Khubayb Al Reem Saudi Arabia,
448,Lambee Tily,4.2,(1.2T) , Amusement center,Riyadh Saudi Arabia,"""NYC place... Kidz njying.... Tq waad for helping kidz..."""
449,Wadi Park,4.0,(2.4T) , Tourist attraction,Riyadh Saudi Arabia,Palm-shaded park for walks & kids’ games
450,Al Musawkaf Market,4.2,(4.1T) , Tourist attraction,Unayzah Saudi Arabia,Closes soon ⋅ 9:30 pm
451,Sala Hub,4.1,(14) , Children's amusement center,Riyadh Saudi Arabia,Open now
452,بئر زعير,No reviews · Tourist attraction,ع Saudi Arabia,,,
453,Oz Lounge,3.8,(743) , Amusement center,Riyadh Saudi Arabia,"""A cafe and a restaurant."""
454,محمية الوعول,4.0,(950) , National reserve,بوضان Saudi Arabia,Desert reserve with native wildlife
455,Happy Cheese,4.6,(2.7T) , Children's amusement center,Riyadh Saudi Arabia,Takeaway
456,The Escape Hotel,4.5,(313) , Escape room center,Riyadh Saudi Arabia,
457,Uplay,3.6,(253) , Children's amusement center,Riyadh Saudi Arabia,"""Best place to take you kids away from TV/iPad"""
458,faylaqia,5.0,(15) , Tourist attraction,Ushaiqer Saudi Arabia,
459,وادي الديسة - المدخل الشمالي,No reviews · Tourist attraction,Saudi Arabia,,,
460,shifa,4.4,(504) , Country park,Riyadh Saudi Arabia,"""A super relaxing place in riyadh"""
461,Umluj Beach,4.4,(1.2T) , State park,Umluj Saudi Arabia,Clear-water beach for diving & birding
